RECORD_ID,ISSUE_DATE,YEAR,MONTH,PERMIT_TYPE,WORK_TYPE,REPORTED_COST,COMMUNITY_AREA_NAME,LATITUDE,LONGITUDE,x,y,PROJECTION,COMMUNITY_UPPER
101011512,2023-04-04,2023,4,PERMIT - EASY PERMIT PROCESS,Unknown,1.0,Logan Square,41.92202471625,-87.71024743275,-0.7740099968970228,-2.4336688467879726,PCA,LOGAN SQUARE
101068075,2025-05-05,2025,5,PERMIT - SIGNS,Unknown,3500.0,West Town,41.89553590005,-87.65454879834,0.011916478493881118,0.008678230993405239,PCA,WEST TOWN
101016122,2023-05-10,2023,5,PERMIT - EASY PERMIT PROCESS,Unknown,0.0,Near West Side,41.88031674053,-87.6645103395,0.13081148123281575,-2.535122523002288,PCA,NEAR WEST SIDE
B100906252,2021-01-19,2021,1,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,500.0,Ashburn,41.74376629804,-87.68730767749,0.971042191527575,-1.4537288824338113,PCA,ASHBURN
101050306,2024-06-24,2024,6,PERMIT - RENOVATION/ALTERATION,Unknown,96500.0,Chicago Lawn,41.76456088958,-87.68494747491,0.6592934768833785,1.1859050660975787,PCA,CHICAGO LAWN
101012234,2023-04-10,2023,4,PERMIT - REINSTATE REVOKED PMT,Unknown,0.0,Auburn Gresham,41.74694164217,-87.63913978588,1.5297479581741813,-2.4980271115133834,PCA,AUBURN GRESHAM
B100937318,2021-08-26,2021,8,PERMIT – EXPRESS PERMIT PROGRAM,Administrative Change,,Auburn Gresham,41.73852447302,-87.65720685468,1.2580416446605267,0.026789732984153627,PCA,AUBURN GRESHAM
101006184,2023-02-21,2023,2,PERMIT - EASY PERMIT PROCESS,Unknown,0.0,Lake View,41.94938831988,-87.65182409858,-0.28262275736759757,-2.704169123758119,PCA,LAKE VIEW
101056519,2024-10-25,2024,10,PERMIT - RENOVATION/ALTERATION,Unknown,195000.0,O’Hare,42.00853640087,-87.91442843927,-4.084034728149176,1.171148350078942,PCA,O’HARE
B100893750,2020-10-06,2020,10,PERMIT – EXPRESS PERMIT PROGRAM,Monthly Maintenance Permit,75.0,Near West Side,41.87187850851,-87.64241744573,0.45729331721720684,-1.0935095848142138,PCA,NEAR WEST SIDE
100979761,2022-07-12,2022,7,PERMIT - EASY PERMIT PROCESS,Unknown,1700.0,Avalon Park,41.75078211183,-87.59045941599,1.9170219678830276,-0.050930486991592236,PCA,AVALON PARK
101061666,2024-10-30,2024,10,PERMIT - RENOVATION/ALTERATION,Unknown,50000.0,Logan Square,41.91480475022,-87.67131447584,-0.44106193820236367,1.232654927023299,PCA,LOGAN SQUARE
101031590,2023-09-26,2023,9,PERMIT - SIGNS,Unknown,1250.0,Near South Side,41.85455379467,-87.62538992943,0.6578865642780936,-0.0005579031020987064,PCA,NEAR SOUTH SIDE
100931216,2021-08-02,2021,8,PERMIT - RENOVATION/ALTERATION,Unknown,26210.0,Near North Side,41.88793874359,-87.62703564149,0.37937865435333873,1.089774740519771,PCA,NEAR NORTH SIDE
100863408,2020-02-19,2020,2,PERMIT - EASY PERMIT PROCESS,Unknown,75.0,Woodlawn,41.77386020215,-87.6117299199,1.5296591828262327,-1.4874678567654613,PCA,WOODLAWN
100932753,2021-07-26,2021,7,PERMIT - EASY PERMIT PROCESS,Unknown,3000.0,Beverly,41.7162842222,-87.68084908937,1.1511971809418116,0.05781845204515215,PCA,BEVERLY
B100964195,2022-03-26,2022,3,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,6000.0,Lincoln Square,41.97957012816,-87.70067271035,-1.2096661525694732,-0.8275690890329401,PCA,LINCOLN SQUARE
101058253,2024-08-30,2024,8,PERMIT - NEW CONSTRUCTION,Unknown,160000.0,Near West Side,41.88471127973,-87.6642818261,-0.10619314190921718,1.151828509665448,PCA,NEAR WEST SIDE
B100933399,2021-08-04,2021,8,PERMIT – EXPRESS PERMIT PROGRAM,Monthly Maintenance Permit,100.0,Loop,41.88205498997,-87.63389990116,0.48218028553423276,-1.243733219110691,PCA,LOOP
100963644,2022-06-13,2022,6,PERMIT - RENOVATION/ALTERATION,Unknown,200000.0,Roseland,41.6866368207,-87.63359476017,1.8859630373925722,1.4631352047095014,PCA,ROSELAND
101030782,2023-09-07,2023,9,PERMIT - EASY PERMIT PROCESS,Unknown,25000.0,West Garfield Park,41.88080332527,-87.72831805266,-0.8243331343704671,0.5942113094061725,PCA,WEST GARFIELD PARK
B200443663,2025-10-06,2025,10,PERMIT – EXPRESS PERMIT PROGRAM,Monthly Maintenance Permit,,Lincoln Park,41.92403976044,-87.65370952386,-0.19735108597668408,0.3643146703707284,PCA,LINCOLN PARK
B100930724,2021-07-26,2021,7,PERMIT – EXPRESS PERMIT PROGRAM,Fire Alarm System,66000.0,Loop,41.87802565526,-87.63206228627,0.47130701881980924,0.7630215947319718,PCA,LOOP
100874393,2020-05-14,2020,5,PERMIT - EASY PERMIT PROCESS,Unknown,25588.0,Dunning,41.94180875649,-87.80277298831,-2.1799976074765266,0.1587172228757239,PCA,DUNNING
B200424955,2025-06-05,2025,6,PERMIT – EXPRESS PERMIT PROGRAM,Exterior Windows/Doors Replacement,162011.0,Beverly,41.70576152203,-87.67286138219,1.310114951008068,0.6548146044942487,PCA,BEVERLY
101009632,2023-03-24,2023,3,PERMIT - RENOVATION/ALTERATION,Unknown,13600.0,South Shore,41.75833403296,-87.57139248766,2.0239801205593984,0.23512098910912008,PCA,SOUTH SHORE
100982293,2022-08-17,2022,8,PERMIT - SIGNS,Unknown,3600.0,Garfield Ridge,41.78932932327,-87.7416456442,-0.18428190977178302,-0.008559291053546709,PCA,GARFIELD RIDGE
B200411959,2025-01-23,2025,1,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,3280.0,Dunning,41.93941674256,-87.80815430348,-2.092936260179127,-1.1899075133934414,PCA,DUNNING
100903480,2020-12-22,2020,12,PERMIT - EASY PERMIT PROCESS,Unknown,9200.0,Avalon Park,41.7509598273,-87.58961467673,1.8851216520096223,0.8760595485046834,PCA,AVALON PARK
100927373,2021-11-03,2021,11,PERMIT - RENOVATION/ALTERATION,Unknown,10440.0,Uptown,41.97319931519,-87.65516389574,-0.7122421753459367,0.8871234510396809,PCA,UPTOWN
101019655,2023-07-05,2023,7,PERMIT - SIGNS,Unknown,4000.0,Avondale,41.93485154192,-87.71665396229,-1.0864430257489899,-0.019438916815861674,PCA,AVONDALE
101064325,2025-07-02,2025,7,PERMIT - RENOVATION/ALTERATION,Unknown,50000.0,West Town,41.90536513957,-87.66740165569,-0.2875626159776482,1.0004061565023803,PCA,WEST TOWN
100863981,2020-02-24,2020,2,PERMIT - EASY PERMIT PROCESS,Unknown,51390.0,Near West Side,41.88582970383,-87.63980643562,0.2447645737407748,0.5489468901175333,PCA,NEAR WEST SIDE
